Player_Name,Age,Height,Weight,Forward,Goalkeeper,Midfielder,Attaking_Midfielder,Center,Defender,Appearances,Substitute(Appearances),Playtime(Minutes),Goals,Assists,Yellow_Cards,Red_Cards,Set_piece_Goal,Passing_Percentage,AerialsWon,Man_Of_The_Matches,Rating
Ukra ,35,0.4,0.472727273,0,0,1,1,0,0,2,13,355,0,2,2,0,0.1,82.6,0.3,0,6.26
Savio ,28,0.38,0.454545455,0,0,0,0,0,1,0,14,310,0,1,2,0,0,82.7,0.1,0,6.24
Amine Oudrhiri ,30,0.56,0.563636364,0,0,1,0,1,1,8,11,784,0,0,2,1,0.1,92.2,0.2,0,6.2
Julien Lomboto ,21,0.7,0.563636364,0,0,0,0,0,1,0,1,5,0,0,0,0,0,85.7,0,0,6.2
Magrao ,23,0.82,0.781818182,0,1,0,0,0,0,2,0,180,0,0,0,0,0,77.3,0,0,6.2
Leonardo Ruiz ,27,0.58,0.472727273,1,0,0,0,0,0,8,17,918,4,0,5,1,0.9,79.1,0.4,0,6.19
Ze Manuel ,32,0.44,0.563636364,1,0,1,1,0,0,0,1,25,0,0,0,0,0,42.9,0,0,6.13
Bruno Ventura ,22,0.32,0.563636364,0,0,1,0,0,0,1,2,95,0,0,0,0,0.7,81.8,0,0,5.97
Joao Ferreira ,22,0.58,0.527272727,0,0,0,0,0,1,0,8,152,0,0,4,1,0.1,82.3,0.3,0,5.97
Samu ,27,0.28,0.4,0,0,1,0,1,0,32,1,2700,3,4,7,0,1.5,80,0.7,4,6.92
Bruno Wilson ,26,0.72,0.727272727,0,0,0,0,1,1,23,1,2049,0,1,4,0,0.5,74.4,2.4,1,6.87
Kiki ,28,0.5,0.581818182,0,0,0,0,0,1,26,2,2231,1,0,10,0,0.7,70.8,1.3,0,6.84
Fabijan Buntic ,26,0.76,0.836363636,0,1,0,0,0,0,33,0,2970,0,0,3,0,0,65,0.3,3,6.72
Raphael Guzzo ,28,0.42,0.472727273,0,0,1,0,1,1,29,1,2370,2,3,8,1,0.8,84.1,0.5,0,6.69
Anderson ,28,0.58,0.490909091,0,0,0,0,1,1,30,0,2669,3,0,7,1,0.5,79.7,2.3,2,6.67
Tomas Silva ,23,0.34,0.290909091,0,0,0,0,0,1,12,10,1170,1,2,2,1,0.3,70.5,0.8,0,6.67
Igor Juliao ,28,0.38,0.327272727,0,0,0,0,0,1,19,1,1619,1,1,6,0,0.4,75.8,0.6,0,6.66
Kiko Bondoso ,27,0.3,0.381818182,0,0,1,1,0,0,34,0,2859,2,3,2,0,1,75.4,0.3,1,6.65
Nuno Moreira ,24,0.38,0.563636364,0,0,1,1,0,0,22,7,1858,1,1,4,0,1.8,71.1,0.4,0,6.63
Pedro Ortiz ,22,0.56,0.563636364,0,0,1,0,1,1,5,4,483,0,0,2,0,0.2,87.6,0.6,0,6.6
Ivanildo Fernandes ,27,0.74,0.709090909,0,0,0,0,1,1,17,3,1483,0,0,3,1,0.4,83,2.2,0,6.55
Milutin Osmajic ,23,0.6,0.563636364,1,0,0,0,0,0,26,5,2058,8,0,5,0,1.5,61.8,1.8,0,6.53
Alex Mendez ,22,0.38,0.436363636,0,0,1,1,1,0,12,18,1409,1,2,9,0,0.9,80.3,0.4,0,6.47
Claudemir ,35,0.58,0.509090909,0,0,1,0,1,1,17,5,1371,0,1,5,0,0.5,86.1,0.8,0,6.46
